"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Jun 27 12:14:09 IST 2024","Thu Jun 27 12:14:09 IST 2024","6","All Test Suite","C:/Users/Neha Rana/IdeaProjects/SeleniumSkwadProject","org.example.LoginPage","org.example.LoginPage","signUpwithoutfirstname","signUpwithoutfirstname",""
"skipped","Tue Jun 25 16:18:48 IST 2024","Tue Jun 25 16:18:48 IST 2024","2","All Test Suite","C:/Users/Neha Rana/IdeaProjects/SeleniumSkwadProject","org.example.Dashboard","org.example.Dashboard","emptyPhoneTest","emptyPhoneTest",""
"broken","Thu Jul 04 10:18:50 IST 2024","Thu Jul 04 10:18:50 IST 2024","120","All Test Suite","C:/Users/Neha Rana/IdeaProjects/SeleniumSkwadProject","org.example.OpenShareLink","org.example.OpenShareLink","PartyCreate","PartyCreate",""
"skipped","Tue Jun 25 16:18:48 IST 2024","Tue Jun 25 16:18:48 IST 2024","9","All Test Suite","C:/Users/Neha Rana/IdeaProjects/SeleniumSkwadProject","org.example.Dashboard","org.example.Dashboard","invalidEmailTest","invalidEmailTest",""
"broken","Tue Jun 18 18:41:35 IST 2024","Tue Jun 18 18:41:35 IST 2024","46","Default Suite","SeleniumSkwadProject","org.example.LoginPage","org.example.LoginPage","signuppage","signuppage",""
"passed","Thu Jul 04 11:42:49 IST 2024","Thu Jul 04 11:42:53 IST 2024","4486","All Test Suite","C:/Users/Neha Rana/IdeaProjects/SeleniumSkwadProject","org.example.OpenShareLink","org.example.OpenShareLink","LoginUser","LoginUser",""
"broken","Mon Jul 01 11:12:55 IST 2024","Mon Jul 01 11:12:55 IST 2024","52","All Test Suite","C:/Users/Neha Rana/IdeaProjects/SeleniumSkwadProject","org.example.Dashboard","org.example.Dashboard","Dashboard","Dashboard",""
"skipped","Tue Jun 25 16:18:48 IST 2024","Tue Jun 25 16:18:48 IST 2024","4","All Test Suite","C:/Users/Neha Rana/IdeaProjects/SeleniumSkwadProject","org.example.Dashboard","org.example.Dashboard","emptyCompanyNameTest","emptyCompanyNameTest",""
"skipped","Thu Jun 27 12:40:08 IST 2024","Thu Jun 27 12:40:08 IST 2024","3","All Test Suite","C:/Users/Neha Rana/IdeaProjects/SeleniumSkwadProject","org.example.Dashboard","org.example.Dashboard","termsRedirectionTest","termsRedirectionTest",""
"failed","Thu Jul 11 14:48:47 IST 2024","Thu Jul 11 14:48:48 IST 2024","593","Default Suite","SeleniumSkwadProject","org.example.Resturant.RLoginPage","org.example.Resturant.RLoginPage","Nagtive_Test1","Nagtive_Test1",""
